HBD_cid,HBD_smiles,Vendor Status
88034440,C(C(C(CO)O)O)O,True
88196736,[B]OCC(CO)O,False
88386369,C(C(COCI)O)O,False
88477504,C(C(COI(=O)=O)O)O,False
88477505,C(C(C(O)I(=O)=O)O)O,False
88521829,C(C(CO)OC#CO)O,False
88589195,CC(C(COC)O)O,True
88633574,C(C(COS(=O)(=O)O)O)O,False
88738230,C(C(CO)OCl(=O)(=O)=O)O,False
88738231,C(C(COCl(=O)(=O)=O)O)O,False
88772523,C(C(CO)OP(O)O)O,False
88812012,C(C(CO)OS)O,False
88813021,C(C(COSO)O)O,False
88908635,C(C(CON(O)O)ON(O)O)O,False
88986835,[B](C)CC(CO)O,False
88995264,[B]CCC(CO)O,False
89081062,CC(CO)OOOO,False
89121038,CC(C(C)OS)O,False
89265015,CCC(C(C)O)O,False
89303592,C#COC(CO)CO,False
89314447,CC(COS)O,False
89357848,C(C(C(O)I)O)O,False
89412057,C(C(C(O)O)OO)O,False
89508759,CCC(CO)OI,False
89788054,C(C(C(CO)OS)O)O,False
90848180,CCC(C[O])O,False
92257131,C(COCC(CO)O)O,True
100974131,C[C](CO)O,False
101038635,CC(CO)[O],False
101479583,CCC(CO)[O],False
101479584,CC(CCO)[O],False
101608138,CC(C(COC)O)O,True
101616337,C[CH]C(CO)O,False
101989986,CC(C(C)O)O,False
102406858,COCC(COC)O,False
102467070,COCC(COC)O,False
102601107,CC(C(C)O)O,True
117064339,C(C(CO)O)O,True
117796450,C(C(COI)O)O,False
117963641,CC(C(CO)OC)O,False
121369559,C(C(CO)OCI)O,False
122199544,C(C(CO)O)O,True
122546447,CC(CO)OS,False
124200287,CC(C(CO)OC)O,False
124203146,CC(CCO)O,True
126611715,C(C(COP)O)O,False
129288732,CCC(COF)O,False
129288734,C(C(COF)O)OF,False
129390406,CC(C(COC)O)O,True
129390408,CC(C(COC)O)O,True
130144820,C(C(C(CO)F)O)O,True
130207314,C(COS)C(CO)OS,False
130350932,C(CO)C(COF)O,False
130624159,CC(C(CO)OC)OC,True
130661191,CCOC(CO)COC,True
130733089,C(C(C(CO)F)O)O,True
130747072,CC(C(CO)OC)OC,True
131106649,CC(C(COC)OC)O,True
131110186,C(C(COS(=O)(=O)O)O)O,True
131178839,C(C(C(CO)F)O)O,True
131708659,C(C(C(CO)O)O)O,True
131875573,C(C(CO)O)O,False
132061328,C(C(COSS)O)OS,False
132575456,CC(CO)O[O],False
134163370,CC(C(C(C)O)O)O,True
135775433,C(C(CO)O)O,False
137349005,C(CO)C(C[O])O,False
138493476,CC(C(CO)O)OO,False
141875161,CC(C(CO)O)O,False
145228046,CC(CO)OF,False
146448374,CC(CO)OCCCO,False
867,C(C(=O)O)C(=O)O,True
487,CC(C(=O)O)C(=O)O,True
68152,C(CO)C(=O)O,True
11686,CC(C)(C(=O)O)C(=O)O,True
538366,COC(=O)CC(=O)O,True
18365,C(C(=O)O)(C(=O)O)F,True
10820511,CC(C(=O)O)C(=O)O,True
274406,C(C(=O)O)(C(=O)O)C(=O)O,True
123087,C(C(=O)O)C(=O)O,True
20163314,C(C(=O)O)(C(=O)O)I,True
16213460,C(C(=O)O)C(=O)O,True
11332425,C(C(=O)O)C(=O)O,True
71309289,CC(C(=O)O)C(=O)O,True
54147700,C(C(=O)O)C(=O)O,False
54065385,C(C(=O)OO)C(=O)OO,False
21759313,CC(C(=O)O)(C(=O)O)C(=O)O,True
19833153,CC(=O)OC(=O)CC(=O)O,False
19818022,C(C(=O)O)C(=O)OO,True
18764728,C(C(=O)O)C(O)(O)O,False
15696986,C(C(=O)O)(C(=O)O)S,True
521147,C(C(C(=O)O)C(=O)O)O,True
90927428,B(O)(OC(=O)CC(=O)O)OC(=O)CC(=O)O,False
90738293,C(C(=O)OC(=O)C(C(=O)O)F)F,False
88048178,C(C(=O)OS)C(=O)OS,False
87536244,C(COC(=O)CC(=O)O)C(=O)O,False
87528973,CCCOOC(=O)CC(=O)O,False
87528870,CCOOC(=O)CC(=O)O,False
87502943,CC(C)(C(=O)O)C(=O)OCl,False
87384424,COOC(=O)CC(=O)O,False
87234242,COC(=O)CC(=O)O,False
60098719,[CH]COC(=O)CC(=O)O,False
60069298,C(C(=O)O)C(=O)OCF,False
59985447,CC(C(=O)O)C(=O)O,False
58861805,[B]C(C)(C(=O)O)C(=O)O,False
58479504,[CH](C(=O)O)C(=O)O,False
58468454,C([CH]O)C(=O)O,False
57485421,C(C(=O)O)C(=O)F,False
57275229,COC(=O)CC(=O)OC(=O)CC(=O)O,False
57107963,C(C(=O)O)C(=O)OC(=O)CC(=O)OC(=O)CC(=O)O,False
57064007,C(COSO)C(=O)O,False
57047915,CC(C)(C(=O)O)C(=O)OF,False
54165197,CC(C)(C(=O)O)C(=O)O,False
53997470,C(C(=O)O)C(=O)ON,False
23619706,CCC(=O)OC(=O)CC(=O)O,False
23527430,[B]P(O)OC(=O)CC(=O)O,False
23177485,C(C(=O)O)C(=O)OCl,False
22622759,C(C(C(=O)O)(C(=O)O)C(=O)O)O,False
21475472,C(C(=O)O)C(=O)OC(=O)CC(=O)O,False
20549784,C(COO)C(=O)O,True
20111844,B(C(C)(C(=O)O)C(=O)O)(O)O,False
19913916,C(#CC(=O)O)C(C(=O)O)C(=O)O,False
19753733,CC(C(=O)O)(C(=O)O)F,True
18956355,C(C(=O)O)C(=O)OBr,False
18517262,C(C(=O)O)C(=O)OOOC(=O)CC(=O)O,False
16213461,C(C(=O)O)C(=O)O,True
15176477,COC(=O)C(C(=O)O)F,True
145196183,B1(OC(=O)CC(=O)O1)OC(=O)CC(=O)O,False
142703021,C(C(=O)O)C(=O)OOO,False
141391438,CC(C(=O)O)C(=O)O,False
141219827,CC(C(=O)O)C(=O)O,False
141004436,C(COCl)C(=O)O,False
139635407,COC(=O)C(C(=O)O)C(=O)O,False
135027177,CC(C)(C(=O)O)C(=O)O,False
123723652,CC(C)(C(=O)O)C(=O)OO,False
90949799,CC(C(=O)O)C(=O)O,False
88296639,C(CO)C(=O)OO,False
87406576,C(C(=O)O)PC(C(=O)O)C(=O)O,False
86112605,C(C(C(=O)O)C(=O)O)F,False
23513157,C(C(C(=O)O)C(=O)O)I,False
21461005,CC(C(=O)O)C(=O)OO,False
21427361,CC(=O)OOC(=O)CC(=O)O,False
10953440,C(C(=O)O)C(=O)O,False
11174614,C(C(=O)O)C(=O)O,False
12200651,C(C(=O)O)C(=O)O,True
15574532,C(C[Ge](=O)O)C(=O)O,False
18183597,B(CC(C(=O)O)C(=O)O)(O)O,False
25113319,C(C(=O)O)C(=O)OC(=O)O,False
59852486,C(C(=O)O)C(=O)OP,False
87357019,C(C(=O)O)C(=O)OF,False
87611162,C(C(=O)O)C(=O)OC=O,False
87630662,C(C(C(=O)O)C(=O)O)[Ge],False
88030259,CC(C(=O)O)(C(=O)O)I,False
88247778,CC(C(=O)O)(C(=O)O)[Ge],False
89366443,C(C(=O)O)C(=O)OI,False
89610155,C(C(=O)O)C(=O)OC#P,False
89835223,C(C(=O)O)C(=O)OC(=O)OC(=O)O,False
90150640,B(O)(O)OC(=O)CC(=O)O,False
92043652,C(C[O])C(=O)O,True
101044879,[CH](C(=O)O)C(=O)O,False
101044880,[CH](C(=O)O)C(=O)O,False
101623365,C(C(=O)O)C(=O)O,False
101921581,C([CH]C(=O)O)O,False
102332747,CC(C(=O)O)C(=O)O,False
102494663,C(CO[O])C(=O)O,False
117064314,CC(C(=O)O)C(=O)O,True
122370837,[CH](C(=O)O)C(=O)O,False
129926185,C(C(=O)O)C(=O)OP(=O)(O)O,True
131997207,C(COOO)C(=O)O,False
137393701,C(C(=O)O)(C(=O)O)P,False
146295505,C(C(=O)O)(C(=O)O)SS,False
8134,COCCOCCO,True
8117,C(COCCO)O,True
8172,C(COCCOCCO)O,True
8146,CCOCCOCCO,True
8019,COCCO,True
8200,C(COCCOCCOCCO)O,True
8133,CCCCOCCO,True
8076,CCOCCO,True
8923,CCCCOCCOCCOCCO,True
8190,CCOCCOCCOCCO,True
8178,COCCOCCOCCO,True
78798,C(COCCOCCOCCOCCOCCOCCOCCO)O,True
62551,C(COCCOCCOCCOCCO)O,True
17756,CCCOCCO,True
17472,C(COCCOCCOCCOCCOCCO)O,True
7996,CC(C)OCCO,True
90263,COCCOCCOCCOCCO,True
15286,CCCOCC(C)O,True
8087,CC(COCC(C)O)O,True
4867,C(COCCOCCOCCOCCOCCOCCOCCOCCO)O,True
11355992,CCCOCCOCCOCCO,True
73791,CCCCOCCOCCOCCOCCO,True
15287,CCOCC(C)O,True
90255,COCCOCCOCCOCCOCCO,True
81313,CCCOCCOCCO,True
79718,C(COCCOCCOCCOCCOCCOCCO)O,True
62411,C(COCC#CCOCCO)O,True
10154203,CC(COCCO)OCCO,True
521158,CC(C)COCCO,True
81260,C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,True
81248,C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,True
79734,CCOCCOCCOCCOCCO,True
79689,C(COCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,True
19846,CC(C)OCC(C)O,True
90207,COCCOCCOCCOCCOCCOCCO,True
78058,CCOCCOCCOCCOCCOCCO,True
526557,CCOCCOCCOCCOCCOCCOCCO,False
526555,COCCOCCOCCOCCOCCOCCOCCO,True
87168,C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,True
77596,C#CCOCCO,True
74516,CCCCOCCOCCOCCOCCOCCO,True
13581,C=COCCOCCO,True
14765037,C(COCCI)O,True
12527511,CCCOCCOCCOCCOCCO,True
9920467,C(COCCO)COCCO,True
2723953,CCOCCOCCO,True
656926,C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,True
247456,CC(COCCOCCO)O,True
111036,CCC(C)OCCO,True
81639,C#CCOCCOCCO,True
9771,C(COCCOCCF)O,True
9763,C(COCCF)O,True
71309724,CCCCOCCO,True
53412760,C(COCC(F)F)O,True
45281241,C(COCCCOCCO)COCCO,False
38988946,CC(C)OCC(C)O,True
16213380,COCCO,True
16212251,CCCCOCCO,True
14765039,C(COCCOCCI)O,True
12527512,CCCOCCOCCOCCOCCOCCO,True
11819432,C(COCCBr)O,True
543047,CC#CCOCCO,True
88844560,C(COCCOCC(O)(Br)Br)O,False
87445834,COC(COCCO)(O)OC,False
71334311,C(COCCOCCOCCON)O,True
71309368,C(COCCO)O,True
57925050,COCCO,True
54233245,C(COCCOCC(O)(S)S)O,False
38988983,CCCOCC(C)O,True
36689386,CC(C)OCC(C)O,True
23448310,C(COCCOC=O)O,True
