HBA_cid,HBA_smiles,Vendor Status,GHS_info,Health Score,Environmental Score,HBA_InChIKey,HBA_MolecularFormula,HBA_MolecularWeight,HBA_mp
6209,C[N+](C)(C)CCO.[Cl-],True,"['H315', 'H319', 'H335']",70,0,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C5H14ClNO,139.62,305 
74724,C[N+](C)(C)CCO.[Br-],True,"['H315', 'H319', 'H335']",70,0,JJCWKVUUIFLXNZ-UHFFFAOYSA-M,C5H14BrNO,184.07,no mp data
80057,CC[N+](CC)(CC)CCO.[I-],True,"['H315', 'H319', 'H335']",70,0,XQDHXDORJFXNDX-UHFFFAOYSA-M,C8H20INO,273.16,no mp data
162303,C[N+](C)(CCO)CCO.[Cl-],True,"['H302', 'H315', 'H319', 'H335']",120,0,OPVXPOIGBSHXNM-UHFFFAOYSA-M,C6H16ClNO2,169.65,no mp data
87300,C[N+](C)(C)CCO.[I-],True,"['H315', 'H319', 'H335']",70,0,FNPBHXSBDADRBT-UHFFFAOYSA-M,C5H14INO,231.08,no mp data
14859573,C[N+](C)(CCO)CI.[I-],True,"['H315', 'H319', 'H335']",70,0,QTKWCDOGFSRVGS-UHFFFAOYSA-M,C5H13I2NO,356.97,no mp data
71310335,C[N+](C)(C)CCO.[Cl-],True,"['H315', 'H319', 'H335']",70,0,SGMZJAMFUVOLNK-NWZHYJCUSA-M,C5H14ClNO,140.62,no mp data
16217619,C[N+](C)(C)CCO.[Br-],True,"['H315', 'H319', 'H335']",70,0,JJCWKVUUIFLXNZ-HGFPCDIYSA-M,C5H14BrNO,188.1,no mp data
16213539,C[N+](C)(C)CCO.[Cl-],True,"['H315', 'H319', 'H335']",70,0,SGMZJAMFUVOLNK-KYRNGWDOSA-M,C5H14ClNO,148.68,no mp data
71309220,C[N+](C)(C)CCO.[Br-],True,"['H315', 'H319', 'H335']",70,0,JJCWKVUUIFLXNZ-TYBPHYHNSA-M,C5H14BrNO,197.15,no mp data
71309123,C[N+](C)(C)CCO.[Cl-],True,"['H315', 'H319', 'H335']",70,0,SGMZJAMFUVOLNK-LJJZSEGWSA-M,C5H14ClNO,140.62,no mp data
71308987,C[N+](C)(C)CCO.[Br-],True,"['H315', 'H319', 'H335']",70,0,JJCWKVUUIFLXNZ-KYRNGWDOSA-M,C5H14BrNO,193.13,no mp data
6060,CC(=O)OCC[N+](C)(C)C.[Cl-],True,"['H315', 'H319', 'H335']",70,0,JUGOREOARAHOCO-UHFFFAOYSA-M,C7H16ClNO2,181.66,no mp data
