HBA_cid,HBA_smiles,Vendor Status,GHS_info,Health Score,SCALED HEALTH,HEALTH PI,Environmental Score,ENV SCALED,ENV PI,HBA_InChIKey,HBA_MolecularFormula,HBA_MolecularWeight,SCALED MW,MW PI,HBA_mp,TOTAL PI,RANK,MIN MW in set,HBA
20708,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,CEYYIKYYFSTQRU-UHFFFAOYSA-M,C17H38ClN,291.9,31.90818774,8.615210689,no mp data,73.91521069,80,,Tetradecyltrimethylammonium chloride
16213617,CCC[N+](CCC)(CCC)CCC.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,BGQMOFGZRJUORO-PJUGJBFXSA-M,C12H28BrN,294.43,31.63400469,8.541181265,no mp data,73.84118127,81,,"Tetrakis(1,1,2,2,3,3,3-heptadeuteriopropyl)azanium;bromide"
16212273,CCCC[N+](CCCC)(CCCC)CCCC.O.[Cl-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,FODWRUPJCKASBN-UHFFFAOYSA-M,C16H38ClNO,295.9,31.47685029,8.498749578,no mp data,73.79874958,82,,Tetrabutylammonium chloride hydrate
3026738,CCCCCCC(C)[N+](C)(C)C.[I-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,IPCZLUGJZALBCS-UHFFFAOYSA-M,C11H26IN,299.24,31.12551798,8.403889853999999,no mp data,73.70388985,83,,(1-Methylheptyl)trimethylammonium iodide
17232,CCCC(=O)OCC[N+](C)(C)C.[I-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,GALNBQVDMJRFGJ-UHFFFAOYSA-M,C9H20INO2,301.17,30.92605505,8.350034864,no mp data,73.65003486,84,,Butyrylcholine iodide
13552200,CC[N+](CC)(CC)CCCBr.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,FNKGNRUAIHVWNL-UHFFFAOYSA-M,C9H21Br2N,303.08,30.73116009,8.297413224,no mp data,73.59741322,85,,(3-Bromopropyl)triethylammonium bromide
16211205,CC[N+](CC)(CC)CC.O.[Cl-],True,"['H302', 'H315', 'H319', 'H335']",120,76,41.8,0,100.0,18.0,CALLTGJPWMIDPC-UHFFFAOYSA-M,C8H22ClNO,183.72,50.69671239,13.68811234,no mp data,73.48811234,86,,Tetraethylammonium chloride hydrate
12429,CCC[N+](CCC)(CCC)CCC.[I-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,GKXDJYKZFZVASJ-UHFFFAOYSA-M,C12H28IN,313.26,29.73249058,8.027772457000001,no mp data,73.32777246,87,,Tetrapropylammonium iodide
9880197,CCCCCCCCCCCC[N+](C)(C)CC.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,FFGSPQDSOUPWGY-UHFFFAOYSA-M,C16H36BrN,322.37,28.89226665,7.800911996,no mp data,73.100912,88,,Dodecylethyldimethylammonium bromide
76521,CCCC[N+](C)(CCCC)CCCC.[I-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,DXJLCRNXYNRGRA-UHFFFAOYSA-M,C13H30IN,327.29,28.457942499999998,7.683644473999999,no mp data,72.98364447,89,,Methyltributylammonium iodide
6114,CC(C[N+](C)(C)C)OC(=O)C.[Cl-],True,"['H302', 'H315', 'H319', 'H335']",120,76,41.8,0,100.0,18.0,JHPHVAVFUYTVCL-UHFFFAOYSA-M,C8H18ClNO2,195.69,47.59568706,12.85083551,no mp data,72.65083551,90,,Methacholine chloride
10919,C[N+](C)(C)CCCCC[N+](C)(C)C.[Br-].[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,GJVFBWCTGUSGDD-UHFFFAOYSA-L,C11H28Br2N2,348.16,26.75206801,7.223058364,no mp data,72.52305836,91,,Pentamethonium bromide
