HBD_cid,HBD_smiles,Vendor Status,GHS_info,Health Score,Environmental Score
82946198,CC(CN(C)C)NCC1=NC=CN1,True,No GHS data available,100,100
83004814,CN(C)NCC1=NC=CN1,True,No GHS data available,100,100
83008966,CN1CCN(CC1)NCC2=NC=CN2,True,No GHS data available,100,100
83034109,C1=CN=C(N1)CN=C(N)N=C(N)N,True,No GHS data available,100,100
83035746,CN1C=CN=C1CN=C(N)N=C(N)N,True,No GHS data available,100,100
83035925,C1=CN(C=N1)CCN=C(N)N=C(N)N,True,No GHS data available,100,100
83036152,CN1C=CN=C1CN(C)C(=N)N=C(N)N,True,No GHS data available,100,100
83085571,C1=CN=C(N1)CNS(=O)(=O)CBr,True,No GHS data available,100,100
83086179,C1=CN=C(N1)NS(=O)(=O)CBr,True,No GHS data available,100,100
83109673,C1=CN=C(N1)CNCCNC(=O)N,True,No GHS data available,100,100
83113785,CN1C=CN=C1NCCNC(=O)N,True,No GHS data available,100,100
83115213,C1=CN(C=N1)C(=O)NCCNC(=O)N,True,No GHS data available,100,100
83117038,CN(C)C(=O)NCCNCC1=NC=CN1,True,No GHS data available,100,100
83382720,C=CN1C=CN=C1Br,True,No GHS data available,100,100
83382798,C=CN1C=CN=C1I,True,No GHS data available,100,100
83383822,C1=CN(C(=N1)CN)O,True,No GHS data available,100,100
83384179,C=CN1C=CN=C1CCN,True,No GHS data available,100,100
83385781,C1=CN(C(=N1)C(=N)N)O,True,No GHS data available,100,100
83445402,CN1CCNC(C1)C2=NC=CN2,True,No GHS data available,100,100
83671961,C1=C(NC(=N1)CCN)N,True,No GHS data available,100,100
83694593,CN(C)CCNC1=NC=CN1,True,No GHS data available,100,100
83695028,C1CCC(C1)CNC2=NC=CN2,True,No GHS data available,100,100
83695029,CC1CCN(CC1)C2=NC=CN2,True,No GHS data available,100,100
83695030,C1CCCN(CC1)C2=NC=CN2,True,No GHS data available,100,100
83696257,C1CN(CCN1C=O)C2=NC=CN2,True,No GHS data available,100,100
83877333,CNCC1=NC=C(N1)Br,True,No GHS data available,100,100
84020774,C1=CN(C(=N1)Cl)CCN,True,No GHS data available,100,100
84021175,CC(CN)N1C=CN=C1Cl,True,No GHS data available,100,100
84021177,CC(CN1C=CN=C1Cl)N,True,No GHS data available,100,100
84021961,CC(CN1C=CN=C1Cl)NC,True,No GHS data available,100,100
84021964,CC(CNC)N1C=CN=C1Cl,True,No GHS data available,100,100
84021966,CNCCCN1C=CN=C1Cl,True,No GHS data available,100,100
84023365,C1=CN(C(=N1)Br)CCN,True,No GHS data available,100,100
84025241,CC(CN)N1C=CN=C1Br,True,No GHS data available,100,100
84025245,C1=CN(C(=N1)Br)CCCN,True,No GHS data available,100,100
