HBA_cid,HBA_smiles,Vendor Status,GHS_info,Health Score,SCALED HEALTH,HEALTH PI,Environmental Score,ENV SCALED,ENV PI,HBA_InChIKey,HBA_MolecularFormula,HBA_MolecularWeight,SCALED MW,MW PI,HBA_mp,TOTAL PI,RANK,MIN MW in set
62581,CCCCCCCC[N+](C)(C)CCCCCCCC.[Cl-],TRUE,"['H226', 'H301', 'H302', 'H310', 'H314', 'H318', 'H400']",275,45,24.75,100,63.63636364,11.45454545,FARBQUXLIQOIDY-UHFFFAOYSA-M,C18H40ClN,306,30.4379085,8.218235294,no mp data,44.42278075,169,
6379,C[N+](C)(C)C.[Cl-],TRUE,"['H300', 'H301', 'H311', 'H315', 'H319', 'H335', 'H370', 'H410', 'H411']",370,26,14.3,175,36.36363636,6.545454545,OKIZCWYLBDKLSU-UHFFFAOYSA-M,C4H12ClN,109.6,84.98175182,22.94507299,420,43.79052754,170,
8155,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],TRUE,"['H302', 'H311', 'H312', 'H314', 'H318', 'H400', 'H410']",225,55,30.25,200,27.27272727,4.909090909,VBIIFPGSPJYLRR-UHFFFAOYSA-M,C21H46ClN,348,26.76436782,7.22637931,no mp data,42.38547022,171,
29563,CCCCCCCCCCCC[N+](CCO)(CCO)CC1=CC=CC=C1.[Cl-],TRUE,"['H302', 'H315', 'H318', 'H319', 'H331', 'H335', 'H400', 'H410']",220,56,30.8,200,27.27272727,4.909090909,UUSQFLGKGQEVCM-UHFFFAOYSA-M,C23H42ClNO2,400,23.285,6.28695,108,41.99604091,172,
8152,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],TRUE,"['H302', 'H314', 'H315', 'H318', 'H319', 'H335', 'H400', 'H410', 'H411', 'H312']",220,56,30.8,275,0,0,DDXLVDQZPFLQMZ-UHFFFAOYSA-M,C15H34ClN,263.89,35.29500928,9.529652507,no mp data,40.32965251,173,
14250,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],TRUE,"['H302', 'H314', 'H315', 'H318', 'H335', 'H373', 'H400', 'H312', 'H332']",310,38,20.9,100,63.63636364,11.45454545,CXRFDZFCGOPDTD-UHFFFAOYSA-M,C17H38BrN,336.4,27.68727705,7.475564804,247.5,39.83011026,174,
13762,CCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],TRUE,"['H302', 'H312', 'H314', 'H400', 'H302+H312', 'H318', 'H315', 'H319', 'H335']",320,36,19.8,100,63.63636364,11.45454545,TTZLKXKJIMOHHG-UHFFFAOYSA-M,C19H34ClN,311.9,29.8621353,8.062776531,29-34 ,39.31732199,175,
33917,CCCCCCCCCCCC[N+](C)(C)CC1=CC=C(C=C1)CC.[Cl-],TRUE,"['H302+H312', 'H302', 'H312', 'H314', 'H318', 'H400', 'H410']",250,50,27.5,200,27.27272727,4.909090909,IHDIFQKZWSOIBB-UHFFFAOYSA-M,C23H42ClN,368,25.30978261,6.833641304,no mp data,39.24273221,176,
14249,CCCCCCCCCCCC[N+](C)(C)C.[Br-],TRUE,"['H301', 'H302', 'H315', 'H317', 'H319', 'H335', 'H400', 'H410', 'H312', 'H314']",295,41,22.55,200,27.27272727,4.909090909,XJWSAJYUBXQQDR-UHFFFAOYSA-M,C15H34BrN,308.34,30.20691445,8.1558669,no mp data,35.61495781,177,
8154,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],TRUE,"['H302', 'H314', 'H400', 'H311', 'H315', 'H318', 'H335', 'H410', 'H312', 'H319']",295,41,22.55,200,27.27272727,4.909090909,WOWHHFRSBJGXCM-UHFFFAOYSA-M,C19H42ClN,320,29.10625,7.8586875,no mp data,35.31777841,178,
5963,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],TRUE,"['H301', 'H302', 'H311', 'H315', 'H319', 'H332', 'H341', 'H412', 'H370', 'H373', 'H371']",470,6,3.3,50,81.81818182,14.72727273,KXHPPCXNWTUNSB-UHFFFAOYSA-M,C10H16ClN,185.69,50.15886693,13.54289407,243,31.5701668,179,
5974,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],TRUE,"['H302', 'H315', 'H318', 'H335', 'H373', 'H400', 'H312', 'H314', 'H319', 'H341', 'H361', 'H370']",420,16,8.8,100,63.63636364,11.45454545,LZZYPRNAOMGNLH-UHFFFAOYSA-M,C19H42BrN,364.4,25.55982437,6.90115258,240,27.15569803,180,
11748636,CCCC[N+](CCCC)(CCCC)CCCC.F.F.[F-],TRUE,"['H302', 'H310', 'H312', 'H314', 'H318', 'H330', 'H332', 'H350']",500,0,0,0,100,18,MRXQMNWIADOAJY-UHFFFAOYSA-M,C16H38F3N,301.47,30.8952798,8.341725545,no mp data,26.34172554,181,
8753,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],TRUE,"['H302', 'H311', 'H312', 'H314', 'H318', 'H330', 'H400', 'H410', 'H332']",375,25,13.75,200,27.27272727,4.909090909,JBIROUFYLSSYDX-UHFFFAOYSA-M,C21H38ClN,340,27.39411765,7.396411765,29-34 ,26.05550267,182,
31202,CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],TRUE,"['H302', 'H311', 'H312', 'H314', 'H317', 'H318', 'H330', 'H335', 'H400', 'H410']",400,20,11,200,27.27272727,4.909090909,SXPWTBGAZSPLHA-UHFFFAOYSA-M,C25H46ClN,396.1,23.51426407,6.3488513,no mp data,22.25794221,183,
8755,CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],TRUE,"['H302', 'H312', 'H314', 'H318', 'H400', 'H410', 'H301+H331', 'H301', 'H311']",450,10,5.5,200,27.27272727,4.909090909,OCBHHZMJRVXXQK-UHFFFAOYSA-M,C23H42ClN,368,25.30978261,6.833641304,60-61 ,17.24273221,184,
23558,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Cl-],TRUE,"['H302', 'H314', 'H301', 'H318', 'H400', 'H410', 'H411', 'H312', 'H317', 'H370', 'H330', 'H371', 'H373']",500,0,0,275,0,0,RUPBZQFQVRMKDG-UHFFFAOYSA-M,C22H48ClN,362.1,25.72217619,6.944987572,94-100 ,6.944987572,185,93.14
