HBD_cid,HBD_smiles,Vendor Status,GHS_info,Health Score,SCALED Health,HEALTH PI,Environmental Score,SCALED ENV,ENV PI,HBD_InChIKey,HBD_MolecularFormula,HBD_MolecularWeight,SCALED MW,MW PI,HBD_mp,TOTAL PI,RANK
23456931,CCC(CC(=O)O)C1=CC=C(C=C1)C,TRUE,['H301'],75,91.37931034,50.25862069,0,100,18,KPEUQALJJUQYKQ-UHFFFAOYSA-N,C12H16O2,192.25,31.23537061,8.433550065,no mp data,76.69217075,1677
4227280,CC1=CC(=CC(=C1O)C)CCC(=O)C,TRUE,['H301'],75,91.37931034,50.25862069,0,100,18,SNSOOXDAVQBQMV-UHFFFAOYSA-N,C12H16O2,192.25,31.23537061,8.433550065,no mp data,76.69217075,1677
240147,C1=CC(=CC=C1O)S,TRUE,"['H302', 'H314', 'H315', 'H319', 'H335']",145,83.33333333,45.83333333,0,100,18,BXAVKNRWVKUTLY-UHFFFAOYSA-N,C6H6OS,126.18,47.59074338,12.84950071,29.5,76.68283405,1679
10856328,C1=CC=C(C=C1)OS(=O)(=O)Cl,TRUE,"['H314', 'H335']",75,91.37931034,50.25862069,0,100,18,XBXHEDNNWSJZPK-UHFFFAOYSA-N,C6H5ClO3S,192.62,31.1753712,8.417350223,no mp data,76.67597091,1680
10631860,CCOC(=O)C(C1=CC=CC=C1)(F)F,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,KCMSDCHUELUJPX-UHFFFAOYSA-N,C10H10F2O2,200.18,29.9980018,8.099460486,no mp data,76.67417313,1681
161858,CCCCCCCCCCCCCCCCCCCC1=CC(=CC(=C1)O)O,TRUE,['H319'],10,98.85057471,54.36781609,0,100,18,PUNOCEUUYUXUGR-UHFFFAOYSA-N,C25H44O2,376.6,15.94530005,4.305231014,96.5-97.5,76.67304711,1682
95254,C1=CC=C2C(=C1)C=CC=C2CCC(=O)O,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,PRLKVVMRQFFIOQ-UHFFFAOYSA-N,C13H12O2,200.23,29.99051091,8.097437946,no mp data,76.67215059,1683
80459,C1=CC=C(C=C1)COC2=CC=CC=C2O,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,CCZCXFHJMKINPE-UHFFFAOYSA-N,C13H12O2,200.23,29.99051091,8.097437946,no mp data,76.67215059,1683
12572015,C(CCCCCCCCC(=O)O)CCCCCCCCC(=O)O,TRUE,"['H315', 'H319']",20,97.70114943,53.73563218,0,100,18,IFAWYXIHOVRGHQ-UHFFFAOYSA-N,C19H36O4,328.5,18.28006088,4.935616438,no mp data,76.67124862,1685
81006,CCCCCCCCC(=O)OCCC,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,HCMSDHYNNJTLRW-UHFFFAOYSA-N,C12H24O2,200.32,29.97703674,8.09379992,no mp data,76.66851256,1686
75942,CC(C)CCCCCCCCC(=O)O,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,QJRRBVNPIKYRQJ-UHFFFAOYSA-N,C12H24O2,200.32,29.97703674,8.09379992,no mp data,76.66851256,1686
3017629,CCCCCCCCC(C)CC(=O)O,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,SHTJBHFHMAKAPT-UHFFFAOYSA-N,C12H24O2,200.32,29.97703674,8.09379992,no mp data,76.66851256,1686
17838050,CC1=CC(=C(C(=C1)F)O)F,TRUE,"['H228', 'H302', 'H315', 'H319', 'H335']",120,86.20689655,47.4137931,0,100,18,VNLMUKFUXHUZRK-UHFFFAOYSA-N,C7H6F2O,144.12,41.66666667,11.25,no mp data,76.6637931,1689
12147287,CC1=CC(=C(C=C1O)F)F,TRUE,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.4137931,0,100,18,IPSPOLUTNBCTIM-UHFFFAOYSA-N,C7H6F2O,144.12,41.66666667,11.25,no mp data,76.6637931,1689
11609598,CC1=CC=C(C=C1)S(=O)(=O)N(Br)Br,TRUE,"['H315', 'H319']",20,97.70114943,53.73563218,0,100,18,BEJBLYLRWIFFBD-UHFFFAOYSA-N,C7H7Br2NO2S,329.01,18.25172487,4.927965715,no mp data,76.6635979,1691
163217,CCCCC(C)(C)C(=O)O,TRUE,"['H290', 'H314', 'H315', 'H318', 'H319', 'H335']",120,86.20689655,47.4137931,0,100,18,YTTWDTVYXAEAJA-UHFFFAOYSA-N,C8H16O2,144.21,41.64066292,11.24297899,no mp data,76.65677209,1692
102641,CCC(C1=CC=CC=C1)C(=O)OC(=O)C(CC)C2=CC=CC=C2,TRUE,['H314'],25,97.12643678,53.41954023,0,100,18,NMVCQWBTTHDUQD-UHFFFAOYSA-N,C20H22O3,310.4,19.34600515,5.223421392,no mp data,76.64296162,1693
2777768,CC(C)(CO)NCCO,TRUE,"['H302', 'H315', 'H318', 'H335']",135,84.48275862,46.46551724,0,100,18,GRLBHPWORYJVEH-UHFFFAOYSA-N,C6H15NO2,133.19,45.08596741,12.1732112,no mp data,76.63872844,1694
84221,C1=CC(=CC=C1CCBr)O,TRUE,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100,18,DYYVTFCYVZEQDG-UHFFFAOYSA-N,C8H9BrO,201.06,29.86670646,8.064010743,no mp data,76.63872339,1695
