HBD_cid,HBD_smiles,Vendor Status,GHS_info,Health Score,SCALED Health,HEALTH PI,Environmental Score,SCALED ENV,ENV PI,HBD_InChIKey,HBD_MolecularFormula,HBD_MolecularWeight,SCALED MW,MW PI,HBD_mp,TOTAL PI,RANK,HBD
55265674,C1CC1(C2=C(C(=CC=C2)F)F)C(=O)O,True,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.41379310000001,0,100.0,18.0,AZLLDERTVHHERM-UHFFFAOYSA-N,C10H8F2O2,198.17,30.30226573,8.181611747,no mp data,73.59540485,2537,"1-(2,3-Difluorophenyl)cyclopropanecarboxylic acid"
66724,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)O,True,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.41379310000001,0,100.0,18.0,NNJMFJSKMRYHSR-UHFFFAOYSA-N,C13H10O2,198.22,30.29462214,8.179547977,228,73.59334108,2539,4-Biphenylcarboxylic acid
223505,CC1=C(C=CC(=C1)CC2=CC=CC=C2)O,True,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.41379310000001,0,100.0,18.0,JPCITNVIXXYRQK-UHFFFAOYSA-N,C14H14O,198.26,30.28851004,8.17789771,no mp data,73.59169081,2540,4-Benzyl-2-methylphenol
53218770,CC1=CC=CC=C1C2=CC(=C(C=C2)O)C,True,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.41379310000001,0,100.0,18.0,YAIFKUYPOJMOFS-UHFFFAOYSA-N,C14H14O,198.26,30.28851004,8.17789771,no mp data,73.59169081,2540,4-(2-Methylphenyl)-2-methylphenol
102526,CC(C1=CC=C(C=C1)O)C(=O)O,True,"['H301', 'H315', 'H319', 'H335']",145,83.33333333,45.83333333,0,100.0,18.0,ZHMMPVANGNPCBW-UHFFFAOYSA-N,C9H10O3,166.17,36.13769032,9.757176386,no mp data,73.59050972,2542,2-(4-Hydroxyphenyl)propanoic acid
580535,C1=CC(=CC=C1CC(=O)C(=O)O)Cl,True,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.41379310000001,0,100.0,18.0,VRYUGTMBOLOQTA-UHFFFAOYSA-N,C9H7ClO3,198.6,30.2366566,8.163897281,no mp data,73.57769038,2543,3-(4-Chlorophenyl)-2-oxopropanoic acid
53447123,CCC(C1=CC(=CC=C1)Cl)C(=O)O,True,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.41379310000001,0,100.0,18.0,MLUSBOPUEWAMEK-UHFFFAOYSA-N,C10H11ClO2,198.64,30.23056786,8.162253323,no mp data,73.57604643,2544,2-(3-Chlorophenyl)butanoic acid
14889332,CC(C)C1=CC=CC(=C1)CC(=O)O,True,"['H302', 'H315', 'H318', 'H335']",135,84.48275862,46.46551724,0,100.0,18.0,HKHSMVNJOVGOCD-UHFFFAOYSA-N,C11H14O2,178.23,33.69241991,9.096953375,no mp data,73.56247062,2545,2-(3-Isopropylphenyl)acetic acid
8132,CCCCNCCO,True,"['H302', 'H314', 'H315', 'H318', 'H335', 'H336']",210,75.86206897,41.72413793,0,100.0,18.0,LJDSTRZHPWMDPG-UHFFFAOYSA-N,C6H15NO,117.19,51.24157351,13.83522485,-2,73.55936278,2546,2-Butylaminoethanol
23545554,CC1=COC(=C1)CO,True,"['H227', 'H302', 'H312', 'H315', 'H319', 'H332', 'H335']",220,74.71264368,41.09195402,0,100.0,18.0,GFZPVRIBUPUXRP-UHFFFAOYSA-N,C6H8O2,112.13,53.55391064,14.45955587,no mp data,73.5515099,2547,"2-Furanmethanol, 4-methyl-"
290584,CC1=CC=CC=C1S(=O)(=O)N(C)C,True,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.41379310000001,0,100.0,18.0,IGJZFKODGSWBBQ-UHFFFAOYSA-N,C9H13NO2S,199.27,30.13499272,8.136448035,no mp data,73.55024114,2548,"n,n,2-Trimethylbenzenesulfonamide"
379197,C(CCCCCC(=O)O)CCCCCI,True,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100.0,18.0,ZJVAKIKQYWNTKI-UHFFFAOYSA-N,C12H23IO2,326.21,18.40838724,4.970264554,no mp data,73.5449772,2549,12-Iodododecanoic acid
16898,CCCCCCCCCCCCCCCCCCCCC(=O)O,True,"['H315', 'H319', 'H335']",70,91.95402299,50.57471264,0,100.0,18.0,CKDDRHZIAZRDBW-UHFFFAOYSA-N,C21H42O2,326.6,18.38640539,4.964329455,74-76,73.5390421,2550,Heneicosanoic acid
229557,CCCCSCCCCCCCCCCC(=O)O,True,"['H315', 'H318', 'H335']",85,90.22988506,49.62643678,0,100.0,18.0,WLQGZHKHDIWKQG-UHFFFAOYSA-N,C15H30O2S,274.5,21.87613843,5.906557377,no mp data,73.53299416,2551,11-Butylsulfanylundecanoic acid
359,C1=C(C=C(C=C1O)O)O,True,"['H315', 'H317', 'H319', 'H335', 'H341', 'H361']",195,77.58620690000001,42.67241379,0,100.0,18.0,QCDYQQDYXPDABM-UHFFFAOYSA-N,C6H6O3,126.11,47.61715962,12.8566331,218.5,73.52904689,2552,Phloroglucinol
2778485,CC1=CC(=C(C=C1)O)F,True,"['H302', 'H312', 'H314', 'H315', 'H319', 'H335']",195,77.58620690000001,42.67241379,0,100.0,18.0,WJKISRFVKIOBCQ-UHFFFAOYSA-N,C7H7FO,126.13,47.60960913,12.85459447,no mp data,73.52700826,2553,2-Fluoro-4-methylphenol
2774616,CC1=C(C=C(C=C1)F)O,True,"['H302', 'H312', 'H314', 'H315', 'H319', 'H335']",195,77.58620690000001,42.67241379,0,100.0,18.0,CKJOSIHYVLHIER-UHFFFAOYSA-N,C7H7FO,126.13,47.60960913,12.85459447,no mp data,73.52700826,2553,5-Fluoro-2-methylphenol
2737394,CC1=C(C=CC(=C1)O)F,True,"['H302', 'H312', 'H314', 'H315', 'H319', 'H335']",195,77.58620690000001,42.67241379,0,100.0,18.0,RVYGYYVGWSCWGY-UHFFFAOYSA-N,C7H7FO,126.13,47.60960913,12.85459447,no mp data,73.52700826,2553,4-Fluoro-3-methylphenol
5221096,B(C1=COC(=C1)C=O)(O)O,True,"['H302', 'H312', 'H314', 'H332']",175,79.88505747,43.93678161,0,100.0,18.0,RIBSTTPRQPAXRS-UHFFFAOYSA-N,C5H5BO4,139.9,42.923516799999994,11.58934954,no mp data,73.52613114,2556,5-Formylfuran-3-boronic acid
16038256,C1=C(C=C(C=C1Br)Br)CCC(=O)O,True,['H301'],75,91.37931034,50.25862069,0,100.0,18.0,AMKWPMUHANVQSZ-UHFFFAOYSA-N,C9H8Br2O2,307.97,19.49865247,5.264636166,no mp data,73.52325686,2557,"3-(3,5-Dibromophenyl)propanoic acid"
5319562,COC(=O)C=CC1=CC=C(C=C1)O,True,"['H315', 'H317', 'H319', 'H335', 'H412']",95,89.08045977,48.99425287,50,85.71428571,15.42857143,NITWSHWHQAQBAW-QPJJXVBHSA-N,C10H10O3,178.18,33.70187451,9.099506117,no mp data,73.52233042,2558,Methyl 4-hydroxycinnamate
41749,C1=CC(=CC(=C1)S(=O)(=O)Cl)O,True,"['H302', 'H314', 'H335']",125,85.63218391,47.09770115,0,100.0,18.0,KVJJEIFIJQCJSP-UHFFFAOYSA-N,C6H5ClO3S,192.62,31.1753712,8.417350223,no mp data,73.51505137,2559,M-Hydroxybenzenesulphonyl chloride
72770435,C1=CC=C(C=C1)C(CC(=O)O)C(F)F,True,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.41379310000001,0,100.0,18.0,ATTSUIJPZMICFB-UHFFFAOYSA-N,C10H10F2O2,200.18,29.998001799999997,8.099460486,no mp data,73.51325359,2560,"4,4-Difluoro-3-phenylbutanoic acid"
57685564,CC(C)(C1=C(C=C(C=C1)F)F)C(=O)O,True,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.41379310000001,0,100.0,18.0,OWPQMQYTPNHEOH-UHFFFAOYSA-N,C10H10F2O2,200.18,29.998001799999997,8.099460486,no mp data,73.51325359,2560,"2-(2,4-Difluorophenyl)-2-methylpropanoic acid"
53430064,CCC1=CC=CC=C1C(C(=O)O)(F)F,True,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.41379310000001,0,100.0,18.0,LCCHLAIBSRVXNU-UHFFFAOYSA-N,C10H10F2O2,200.18,29.998001799999997,8.099460486,no mp data,73.51325359,2560,(2-Ethylphenyl)(difluoro)acetic acid
22457007,CC(CC(=O)O)C1=CC(=C(C=C1)F)F,True,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.41379310000001,0,100.0,18.0,XEGNLSSZSLFSBH-UHFFFAOYSA-N,C10H10F2O2,200.18,29.998001799999997,8.099460486,no mp data,73.51325359,2560,"3-(3,4-Difluorophenyl)butanoic acid"
13147846,CC(C1=CC2=CC=CC=C2C=C1)C(=O)O,True,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.41379310000001,0,100.0,18.0,DKVIPUUJSKIQFZ-UHFFFAOYSA-N,C13H12O2,200.23,29.99051091,8.097437946,no mp data,73.51123105,2564,2-(Naphthalen-2-yl)propanoic acid
100987,CCOS(=O)(=O)C1=CC=CC=C1C,True,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.41379310000001,0,100.0,18.0,LQCJGDKXBVRTKR-UHFFFAOYSA-N,C9H12O3S,200.26,29.98601818,8.096224908,no mp data,73.51001801,2565,Ethyl o-toluenesulphonate
12298470,CC(C)(C)C1=CC2=CC=CC=C2C=C1O,True,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.41379310000001,0,100.0,18.0,QDJWFVOKZOKEQH-UHFFFAOYSA-N,C14H16O,200.28,29.98302377,8.095416417000001,no mp data,73.50920952,2566,3-(Tert-Butyl)naphthalen-2-ol
2737185,CCC1=C(C=CC(=C1)F)O,True,"['H302', 'H312', 'H314', 'H332']",175,79.88505747,43.93678161,0,100.0,18.0,JKZWRPGOAAMNQY-UHFFFAOYSA-N,C8H9FO,140.15,42.8469497,11.56867642,no mp data,73.50545803,2567,2-Ethyl-4-fluorophenol
88637,C1=CC(=CC=C1C(CCC(=O)O)C2=CC=C(C=C2)F)F,True,"['H302', 'H315', 'H318']",85,90.22988506,49.62643678,0,100.0,18.0,CZNWJIAAVVXYFS-UHFFFAOYSA-N,C16H14F2O2,276.28,21.73519618,5.868502968,no mp data,73.49493975,2568,"4,4-Bis(4-fluorophenyl)butyric acid"
543634,CCCCCCCCCCCC(=O)OCCl,True,"['H314', 'H335', 'H413']",75,91.37931034,50.25862069,25,92.85714286,16.71428571,XCHDYWCWXAASER-UHFFFAOYSA-N,C13H25ClO2,248.79,24.13682222,6.516941999,no mp data,73.4898484,2569,Chloromethyl dodecanoate
2737489,C1=CC(=CC(=C1)F)CCC(=O)O,True,"['H302', 'H315', 'H318', 'H319', 'H335']",145,83.33333333,45.83333333,0,100.0,18.0,UBLMRADOKLXLCD-UHFFFAOYSA-N,C9H9FO2,168.16,35.71003806,9.641710276,no mp data,73.47504361,2570,3-(3-Fluorophenyl)propionic acid
71309568,COC1=CC=CC=C1OCC(CO)O,True,"['H302', 'H315', 'H319', 'H335']",120,86.20689655,47.41379310000001,0,100.0,18.0,HSRJKNPTNIJEKV-TTXLGWKISA-N,C10H14O4,201.19,29.84740792,8.058800139,no mp data,73.47259324,2571,"3-(2-Methoxyphenoxy)(1,2,3-13C3)propane-1,2-diol"
19928,C1=CC(=C(C(=C1)Cl)O)O,True,"['H302', 'H312', 'H315', 'H319', 'H332']",170,80.45977011,44.25287356,0,100.0,18.0,GQKDZDYQXPOXEM-UHFFFAOYSA-N,C6H5ClO2,144.55,41.54271878,11.21653407,48.5,73.46940763,2572,3-Chlorocatechol
138161,CC(C)(CCC1=CC=C(C=C1)O)O,True,"['H302', 'H315', 'H318', 'H335']",135,84.48275862,46.46551724,0,100.0,18.0,BGHHDJUQYBAXSB-UHFFFAOYSA-N,C11H16O2,180.24,33.31668886,8.995505992,no mp data,73.46102323,2573,"Benzenepropanol, 4-hydroxy-alpha,alpha-dimethyl-"
